date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-09-19,26℃,20℃,多云,东北风,4-5级,51,良,2
2016-09-20,26℃,19℃,多云,北风,3-4级,53,良,2
2016-09-21,26℃,18℃,阴~多云,东北风,1-2级,58,良,2
2016-09-22,27℃,17℃,多云,东北风,3-4级,57,良,2
2016-09-23,28℃,18℃,多云,东风,1-2级,59,良,2
2016-09-24,28℃,20℃,多云,东南风,1-2级,70,良,2
2016-09-25,29℃,21℃,多云,东南风,3-4级,78,良,2
2016-09-26,30℃,23℃,多云,东风,1-2级,65,良,2
2016-09-27,30℃,23℃,阵雨,东北风,3-4级,51,良,2
2016-09-28,27℃,21℃,阵雨~中雨,东北风,4-5级,30,优,1
2016-09-29,23℃,21℃,中雨~小雨,东北风,4-5级,31,优,1
2016-09-30,26℃,22℃,阵雨,西风,3-4级,39,优,1
2016-10-01,26℃,22℃,阵雨,西北风,1-2级,57,良,2
2016-10-02,26℃,21℃,中雨~阵雨,东南风,1-2级,94,良,2
2016-10-03,27℃,19℃,阴~多云,北风,1-2级,38,优,1
2016-10-04,27℃,19℃,多云,东北风,1-2级,54,良,2
2016-10-05,26℃,20℃,多云,东北风,3-4级,67,良,2
2016-10-06,25℃,20℃,多云~阵雨,东北风,3-4级,63,良,2
2016-10-07,23℃,19℃,中雨~小雨,东北风,3-4级,38,优,1
2016-10-08,23℃,16℃,阴~多云,东北风,3-4级,40,优,1
2016-10-09,21℃,15℃,多云,东北风,3-4级,46,优,1
2016-10-10,22℃,16℃,多云,东北风,3-4级,49,优,1
2016-10-11,22℃,17℃,阴,东北风,1-2级,49,优,1
2016-10-12,21℃,17℃,阴,东北风,3-4级,55,良,2
2016-10-13,21℃,17℃,阴~小雨,东北风,1-2级,63,良,2
2016-10-14,22℃,18℃,阴~小雨,东北风,1-2级,48,优,1
2016-10-15,21℃,19℃,小雨,东风,3-4级,53,良,2
2016-10-16,25℃,18℃,小雨~阴,西北风,1-2级,76,良,2
2016-10-17,25℃,18℃,阴,东北风,3-4级,65,良,2
2016-10-18,24℃,18℃,阴,东风,1-2级,52,良,2
2016-10-19,24℃,19℃,阴,东风,1-2级,59,良,2
2016-10-20,22℃,19℃,小雨,东风,3-4级,45,优,1
2016-10-21,22℃,20℃,小雨,东风,3-4级,27,优,1
2016-10-22,22℃,19℃,中雨,东北风,4-5级,20,优,1
2016-10-23,21℃,16℃,小雨~阴,东北风,3-4级,36,优,1
2016-10-24,22℃,17℃,多云,东风,1-2级,56,良,2
2016-10-25,21℃,18℃,阴~中雨,北风,1-2级,54,良,2
2016-10-26,19℃,17℃,大雨~中雨,东北风,3-4级,53,良,2
2016-10-27,19℃,16℃,中雨~小雨,东南风,3-4级,38,优,1
2016-10-28,20℃,13℃,小雨,北风,3-4级,41,优,1
2016-10-29,15℃,10℃,小雨~阴,北风,3-4级,43,优,1
2016-10-30,18℃,13℃,多云~小雨,东风,3-4级,59,良,2
2016-10-31,16℃,11℃,小雨~多云,北风,3-4级,45,优,1
2016-11-01,15℃,6℃,多云,东北风,3-4级,36,优,1
2016-11-02,17℃,7℃,晴,东北风,3-4级,56,良,2
2016-11-03,18℃,9℃,多云,东风,1-2级,76,良,2
2016-11-04,21℃,12℃,多云,南风,3-4级,113,轻度污染,3
2016-11-05,23℃,11℃,多云,南风,3-4级,105,轻度污染,3
2016-11-06,23℃,14℃,多云,东北风,1-2级,131,轻度污染,3
2016-11-07,22℃,11℃,雷阵雨~中雨,东风,1-2级,72,良,2
2016-11-08,16℃,9℃,阴,北风,4-5级,41,优,1
2016-11-09,13℃,9℃,多云~阴,东北风,3-4级,51,良,2
2016-11-10,15℃,7℃,多云,西风,3-4级,53,良,2
2016-11-11,18℃,10℃,多云,南风,3-4级,61,良,2
2016-11-12,20℃,11℃,多云,南风,1-2级,78,良,2
2016-11-13,19℃,12℃,阴~多云,南风,1-2级,105,轻度污染,3
2016-11-14,21℃,11℃,阴,东风,1-2级,168,中度污染,4
2016-11-15,17℃,8℃,多云,东风,3-4级,123,轻度污染,3
2016-11-16,16℃,13℃,小雨,东风,1-2级,58,良,2
2016-11-17,18℃,15℃,小雨,东风,1-2级,52,良,2
2016-11-18,19℃,15℃,小雨,东南风,3-4级,71,良,2
2016-11-19,20℃,15℃,阴,西北风,1-2级,95,良,2
2016-11-20,18℃,14℃,小雨~阴,东北风,3-4级,78,良,2
2016-11-21,18℃,8℃,小雨,东北风,1-2级,65,良,2
2016-11-22,15℃,4℃,小雨,北风,4-5级,34,优,1
2016-11-23,6℃,0℃,小雨~多云,北风,4-5级,44,优,1
2016-11-24,8℃,1℃,多云,西北风,3-4级,82,良,2
2016-11-25,11℃,5℃,阴~小雨,西北风,3-4级,96,良,2
2016-11-26,9℃,1℃,小雨~多云,西北风,3-4级,77,良,2
2016-11-27,13℃,2℃,多云,北风,1-2级,113,轻度污染,3
2016-11-28,13℃,4℃,多云,东北风,3-4级,126,轻度污染,3
2016-11-29,12℃,7℃,阴~小雨,东风,1-2级,60,良,2
2016-11-30,13℃,5℃,多云,西北风,1-2级,73,良,2
2016-12-01,13℃,4℃,多云,东北风,3-4级,133,轻度污染,3
2016-12-02,14℃,6℃,多云,东风,1-2级,85,良,2
2016-12-03,15℃,8℃,多云~小雨,东风,3-4级,74,良,2
2016-12-04,17℃,7℃,多云,西风,1-2级,109,轻度污染,3
2016-12-05,18℃,4℃,多云~阴,西北风,1-2级,111,轻度污染,3
2016-12-06,12℃,3℃,晴,东南风,1-2级,76,良,2
2016-12-07,14℃,4℃,多云,南风,3-4级,122,轻度污染,3
2016-12-08,16℃,6℃,多云,南风,3-4级,170,中度污染,4
2016-12-09,13℃,6℃,多云,北风,1-2级,130,轻度污染,3
2016-12-10,12℃,7℃,多云,东北风,1-2级,54,良,2
2016-12-11,13℃,8℃,多云,东风,1-2级,53,良,2
2016-12-12,16℃,9℃,阴~小雨,东风,3-4级,90,良,2
2016-12-13,12℃,4℃,小雨~阴,北风,4-5级,112,轻度污染,3
2016-12-14,8℃,-1℃,多云,北风,3-4级,48,优,1
2016-12-15,8℃,-1℃,多云,北风,3-4级,88,良,2
2016-12-16,9℃,0℃,晴,东南风,1-2级,185,中度污染,4
2016-12-17,12℃,6℃,晴~多云,东南风,1-2级,155,中度污染,4
2016-12-18,15℃,6℃,多云,东南风,3-4级,78,良,2
2016-12-19,17℃,10℃,多云~小雨,东风,1-2级,170,中度污染,4
2016-12-20,14℃,12℃,小雨,东北风,3-4级,111,轻度污染,3
2016-12-21,14℃,7℃,中雨~小雨,西风,3-4级,51,良,2
