date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-08-17,29℃,23℃,阵雨~中雨,无持续风向,微风,80,良,2
2016-08-18,25℃,22℃,大雨~阵雨,无持续风向,微风,104,轻度污染,3
2016-08-19,32℃,22℃,多云~晴,无持续风向,微风,38,优,1
2016-08-20,32℃,23℃,多云~晴,无持续风向,微风,80,良,2
2016-08-21,32℃,23℃,晴~多云,无持续风向,微风,89,良,2
2016-08-22,31℃,23℃,多云~阴,无持续风向,微风,81,良,2
2016-08-23,30℃,24℃,阵雨,无持续风向,微风,93,良,2
2016-08-24,32℃,25℃,多云~雷阵雨,无持续风向,微风,107,轻度污染,3
2016-08-25,31℃,18℃,多云~晴,北风,4-5级,47,优,1
2016-08-26,29℃,17℃,晴,无持续风向,微风,30,优,1
2016-08-27,31℃,19℃,晴,无持续风向,微风,39,优,1
2016-08-28,31℃,18℃,晴,无持续风向,微风,32,优,1
2016-08-29,31℃,19℃,晴,无持续风向,微风,44,优,1
2016-08-30,29℃,19℃,多云,无持续风向,微风,60,良,2
2016-08-31,33℃,20℃,晴~阴,北风,3-4级,40,优,1
2016-09-01,27℃,19℃,阴,北风,3-4级,32,优,1
2016-09-02,28℃,20℃,阴~多云,无持续风向,微风,34,优,1
2016-09-03,30℃,20℃,多云~阴,无持续风向,微风,39,优,1
2016-09-04,28℃,18℃,雷阵雨~多云,无持续风向,微风,110,轻度污染,3
2016-09-05,30℃,20℃,晴,无持续风向,微风,48,优,1
2016-09-06,31℃,21℃,多云~阴,无持续风向,微风,38,优,1
2016-09-07,31℃,19℃,多云~晴,无持续风向,微风,65,良,2
2016-09-08,31℃,18℃,晴,无持续风向,微风,39,优,1
2016-09-09,31℃,19℃,晴~多云,无持续风向,微风,38,优,1
2016-09-10,29℃,18℃,多云~雷阵雨,无持续风向,微风,38,优,1
2016-09-11,23℃,18℃,雷阵雨~多云,无持续风向,微风,38,优,1
2016-09-12,26℃,18℃,多云,无持续风向,微风,51,良,2
2016-09-13,27℃,19℃,多云~晴,无持续风向,微风,114,轻度污染,3
2016-09-14,30℃,20℃,多云~晴,无持续风向,微风,137,轻度污染,3
2016-09-15,30℃,21℃,晴~多云,无持续风向,微风,92,良,2
2016-09-16,30℃,20℃,雷阵雨~阵雨,无持续风向,微风,181,中度污染,4
2016-09-17,25℃,17℃,多云~小雨,无持续风向,微风,62,良,2
2016-09-18,21℃,15℃,小雨~晴,无持续风向,微风,36,优,1
2016-09-19,25℃,13℃,晴,无持续风向,微风,26,优,1
2016-09-20,26℃,14℃,晴~多云,无持续风向,微风,37,优,1
2016-09-21,24℃,16℃,多云,无持续风向,微风,87,良,2
2016-09-22,26℃,18℃,阴~阵雨,无持续风向,微风,130,轻度污染,3
2016-09-23,28℃,19℃,多云~霾,无持续风向,微风,155,中度污染,4
2016-09-24,29℃,20℃,霾~雷阵雨,无持续风向,微风,145,轻度污染,3
2016-09-25,26℃,20℃,多云~阵雨,无持续风向,微风,214,重度污染,5
2016-09-26,25℃,19℃,阵雨~阴,无持续风向,微风,83,良,2
2016-09-27,24℃,12℃,多云~晴,北风,4-5级,47,优,1
2016-09-28,20℃,10℃,晴,无持续风向,微风,28,优,1
2016-09-29,22℃,12℃,晴~多云,无持续风向,微风,70,良,2
2016-09-30,24℃,14℃,晴~多云,无持续风向,微风,125,轻度污染,3
2016-10-01,26℃,16℃,霾,无持续风向,微风,210,重度污染,5
2016-10-02,26℃,17℃,霾,无持续风向,微风,235,重度污染,5
2016-10-03,28℃,17℃,霾~阵雨,无持续风向,微风,160,中度污染,4
2016-10-04,20℃,11℃,小雨~多云,无持续风向,微风,63,良,2
2016-10-05,23℃,13℃,晴~多云,无持续风向,微风,73,良,2
2016-10-06,19℃,14℃,小雨~小到中雨,无持续风向,微风,100,良,2
