date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-08-04,33℃,22℃,多云,东南风,1-2级,109,轻度污染,3
2016-08-05,33℃,23℃,多云,南风,1-2级,71,良,2
2016-08-06,34℃,24℃,多云~中雨,南风,1-2级,135,轻度污染,3
2016-08-07,30℃,21℃,中雨~小雨,东风,1-2级,34,优,1
2016-08-08,32℃,21℃,晴~多云,东风,1-2级,54,良,2
2016-08-09,32℃,23℃,多云,南风,1-2级,59,良,2
2016-08-10,34℃,25℃,小雨,南风,1-2级,109,轻度污染,3
2016-08-11,35℃,26℃,小雨,南风,1-2级,107,轻度污染,3
2016-08-12,34℃,24℃,小雨~多云,东北风,1-2级,86,良,2
2016-08-13,36℃,24℃,阴,西北风,1-2级,45,优,1
2016-08-14,34℃,24℃,阴~小雨,西北风,1-2级,41,优,1
2016-08-15,29℃,19℃,小雨~阴,西北风,1-2级,39,优,1
2016-08-16,31℃,21℃,晴~阴,南风,1-2级,39,优,1
2016-08-17,27℃,23℃,小雨~中雨,南风,1-2级,86,良,2
2016-08-18,26℃,23℃,大雨~小雨,北风,1-2级,116,轻度污染,3
2016-08-19,33℃,23℃,多云~晴,无持续风向,微风,34,优,1
2016-08-20,33℃,22℃,多云,无持续风向,微风,88,良,2
2016-08-21,33℃,23℃,多云,无持续风向,微风,84,良,2
2016-08-22,32℃,23℃,多云~阴,无持续风向,微风,66,良,2
2016-08-23,31℃,24℃,阵雨,无持续风向,微风,89,良,2
2016-08-24,33℃,24℃,多云~雷阵雨,无持续风向,微风,104,轻度污染,3
2016-08-25,31℃,18℃,晴,北风,4-5级,33,优,1
2016-08-26,30℃,17℃,晴,无持续风向,微风,26,优,1
2016-08-27,32℃,19℃,晴,无持续风向,微风,31,优,1
2016-08-28,32℃,18℃,晴,无持续风向,微风,25,优,1
2016-08-29,32℃,19℃,晴,无持续风向,微风,39,优,1
2016-08-30,30℃,20℃,多云,无持续风向,微风,57,良,2
2016-08-31,34℃,20℃,多云~阴,北风,3-4级,36,优,1
2016-09-01,27℃,19℃,阴,北风,3-4级,23,优,1
2016-09-02,28℃,20℃,阴~多云,无持续风向,微风,31,优,1
2016-09-03,31℃,20℃,多云~阴,无持续风向,微风,39,优,1
2016-09-04,28℃,19℃,雷阵雨~阴,无持续风向,微风,94,良,2
2016-09-05,31℃,20℃,晴,无持续风向,微风,45,优,1
2016-09-06,32℃,22℃,阴~阵雨,无持续风向,微风,38,优,1
2016-09-07,32℃,19℃,多云,无持续风向,微风,59,良,2
2016-09-08,32℃,18℃,晴,北风,3-4级,39,优,1
2016-09-09,32℃,20℃,晴,无持续风向,微风,34,优,1
2016-09-10,29℃,18℃,阴~雷阵雨,无持续风向,微风,33,优,1
2016-09-11,23℃,18℃,雷阵雨~阵雨,无持续风向,微风,33,优,1
2016-09-12,27℃,17℃,多云,无持续风向,微风,44,优,1
2016-09-13,27℃,19℃,多云,无持续风向,微风,112,轻度污染,3
2016-09-14,31℃,20℃,多云~晴,无持续风向,微风,133,轻度污染,3
2016-09-15,30℃,21℃,多云,无持续风向,微风,106,轻度污染,3
2016-09-16,30℃,20℃,雷阵雨~阵雨,无持续风向,微风,195,中度污染,4
2016-09-17,25℃,17℃,多云~小雨,无持续风向,微风,66,良,2
2016-09-18,21℃,15℃,小雨~多云,无持续风向,微风,35,优,1
2016-09-19,26℃,13℃,晴,无持续风向,微风,27,优,1
2016-09-20,27℃,14℃,晴~多云,无持续风向,微风,37,优,1
2016-09-21,25℃,16℃,阵雨~多云,无持续风向,微风,100,良,2
2016-09-22,27℃,18℃,阴~阵雨,无持续风向,微风,147,轻度污染,3
2016-09-23,28℃,19℃,多云~霾,无持续风向,微风,127,轻度污染,3
2016-09-24,30℃,20℃,霾~雷阵雨,无持续风向,微风,151,中度污染,4
2016-09-25,26℃,19℃,阵雨,无持续风向,微风,212,重度污染,5
2016-09-26,25℃,19℃,阵雨~阴,无持续风向,微风,77,良,2
2016-09-27,24℃,12℃,晴,北风,5-6级,41,优,1
2016-09-28,20℃,10℃,晴,无持续风向,微风,25,优,1
2016-09-29,23℃,12℃,多云,无持续风向,微风,71,良,2
2016-09-30,25℃,14℃,晴~多云,无持续风向,微风,125,轻度污染,3
2016-10-01,26℃,16℃,多云~霾,无持续风向,微风,195,中度污染,4
2016-10-02,27℃,17℃,霾,无持续风向,微风,225,重度污染,5
2016-10-03,29℃,17℃,霾~阵雨,无持续风向,微风,141,轻度污染,3
2016-10-04,20℃,13℃,小雨~晴,无持续风向,微风,45,优,1
2016-10-05,24℃,13℃,晴~多云,无持续风向,微风,74,良,2
2016-10-06,20℃,14℃,小雨~小到中雨,无持续风向,微风,87,良,2
2016-10-07,17℃,12℃,小雨~多云,无持续风向,微风,54,良,2
2016-10-08,19℃,5℃,晴,北风,4-5级,20,优,1
2016-10-09,19℃,8℃,多云~晴,无持续风向,微风,47,优,1
2016-10-10,19℃,10℃,多云~晴,无持续风向,微风,112,轻度污染,3
2016-10-11,21℃,10℃,晴~阴,北风,3-4级,157,中度污染,4
2016-10-12,18℃,10℃,霾,无持续风向,微风,92,良,2
2016-10-13,23℃,13℃,霾,无持续风向,微风,194,中度污染,4
