date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-08-20,30℃,25℃,雷阵雨~阵雨,南风,5-6级,28,优,1
2016-08-21,29℃,24℃,多云,东北风,3-4级,26,优,1
2016-08-22,29℃,23℃,晴,东北风,3-4级,49,优,1
2016-08-23,30℃,22℃,晴,北风,3-4级,57,良,2
2016-08-24,31℃,23℃,多云~阴,南风,3-4级,59,良,2
2016-08-25,28℃,23℃,雷阵雨~阴,西南风,3-4级,42,优,1
2016-08-26,25℃,21℃,多云~晴,东北风,4-5级,33,优,1
2016-08-27,26℃,20℃,晴,东北风,4-5级,50,优,1
2016-08-28,26℃,21℃,晴,北风,3-4级,45,优,1
2016-08-29,26℃,21℃,晴~多云,北风,5-6级,47,优,1
2016-08-30,25℃,20℃,多云,西北风,6-7级,56,良,2
2016-08-31,27℃,19℃,多云~阴,西北风,5-6级,51,良,2
2016-09-01,27℃,18℃,阴~多云,西北风,5-6级,54,良,2
2016-09-02,27℃,19℃,阵雨~多云,南风,3-4级,56,良,2
2016-09-03,27℃,19℃,多云,东风,3-4级,61,良,2
2016-09-04,27℃,20℃,多云~阴,东风,3-4级,62,良,2
2016-09-05,29℃,21℃,阵雨~多云,南风,3-4级,72,良,2
2016-09-06,31℃,21℃,多云~阴,西南风,4-5级,82,良,2
2016-09-07,25℃,18℃,雷阵雨,北风,3-4级,56,良,2
2016-09-08,27℃,19℃,多云,北风,3-4级,56,良,2
2016-09-09,29℃,19℃,晴~多云,南风,3-4级,86,良,2
2016-09-10,27℃,20℃,阴~雷阵雨,南风,3-4级,64,良,2
2016-09-11,28℃,19℃,雷阵雨,南风,3-4级,64,良,2
2016-09-12,27℃,19℃,雷阵雨,东南风,3-4级,58,良,2
2016-09-13,26℃,19℃,多云~晴,北风,3-4级,60,良,2
2016-09-14,27℃,21℃,多云,南风,3-4级,67,良,2
2016-09-15,28℃,19℃,晴,南风,3-4级,88,良,2
2016-09-16,27℃,21℃,多云,南风,3-4级,54,良,2
2016-09-17,25℃,19℃,阴~多云,东北风,4-5级,52,良,2
2016-09-18,23℃,19℃,晴,东北风,5-6级,40,优,1
2016-09-19,23℃,19℃,晴,东北风,5-6级,46,优,1
2016-09-20,23℃,14℃,晴,东北风,3-4级,38,优,1
2016-09-21,24℃,16℃,晴,东南风,3-4级,50,优,1
2016-09-22,26℃,17℃,晴,南风,3-4级,49,优,1
2016-09-23,28℃,19℃,晴,南风,4-5级,45,优,1
2016-09-24,28℃,19℃,晴,南风,4-5级,37,优,1
2016-09-25,28℃,19℃,多云,南风,3-4级,43,优,1
2016-09-26,28℃,19℃,多云~阴,南风,3-4级,44,优,1
2016-09-27,25℃,15℃,阵雨~阴,南风,4-5级,46,优,1
2016-09-28,19℃,13℃,多云~晴,东北风,5-6级,38,优,1
2016-09-29,20℃,12℃,多云~晴,东北风,4-5级,34,优,1
2016-09-30,22℃,18℃,晴~多云,东南风,3-4级,61,良,2
2016-10-01,25℃,17℃,多云,东南风,3-4级,61,良,2
2016-10-02,22℃,16℃,阴~多云,东南风,3-4级,40,优,1
2016-10-03,25℃,18℃,晴,东北风,3-4级,55,良,2
2016-10-04,24℃,16℃,晴~多云,东南风,4-5级,56,良,2
2016-10-05,20℃,15℃,多云,北风,5-6级,47,优,1
2016-10-06,20℃,16℃,晴~多云,东北风,4-5级,27,优,1
2016-10-07,20℃,15℃,阴,东南风,3-4级,35,优,1
2016-10-08,20℃,13℃,晴,西北风,5-6级,39,优,1
2016-10-09,16℃,10℃,晴,北风,5-6级,32,优,1
2016-10-10,21℃,13℃,晴,西南风,4-5级,52,良,2
2016-10-11,21℃,14℃,多云~晴,北风,4-5级,73,良,2
2016-10-12,18℃,13℃,晴,东南风,3-4级,59,良,2
2016-10-13,24℃,16℃,晴,西南风,3-4级,58,良,2
2016-10-14,24℃,15℃,晴~多云,南风,3-4级,111,轻度污染,3
2016-10-15,24℃,17℃,多云~小雨,南风,3-4级,86,良,2
2016-10-16,18℃,14℃,小雨,南风,3-4级,61,良,2
2016-10-17,21℃,12℃,晴,北风,3-4级,68,良,2
2016-10-18,23℃,15℃,晴,南风,3-4级,70,良,2
2016-10-19,24℃,13℃,晴,西南风,3-4级,96,良,2
2016-10-20,20℃,15℃,多云,东北风,5-6级,101,轻度污染,3
2016-10-21,20℃,13℃,多云~小雨,东风,3-4级,49,优,1
2016-10-22,17℃,11℃,多云,东北风,6-7级,49,优,1
2016-10-23,15℃,12℃,多云,东北风,6-7级,43,优,1
2016-10-24,17℃,13℃,小雨~小到中雨,东北风,3-4级,35,优,1
2016-10-25,18℃,12℃,多云,东北风,3-4级,52,良,2
2016-10-26,16℃,12℃,多云,东北风,5-6级,71,良,2
2016-10-27,16℃,10℃,阴~小雨,东北风,3-4级,37,优,1
2016-10-28,14℃,9℃,阴~多云,北风,5-6级,37,优,1
2016-10-29,12℃,5℃,多云,东北风,3-4级,40,优,1
2016-10-30,17℃,6℃,多云~小雨,北风,4-5级,59,良,2
2016-10-31,10℃,4℃,阴~多云,东北风,6-7级,37,优,1
2016-11-01,10℃,5℃,多云,北风,3-4级,42,优,1
2016-11-02,13℃,7℃,多云~晴,西风,4-5级,71,良,2
2016-11-03,17℃,10℃,晴,西南风,4-5级,106,轻度污染,3
2016-11-04,19℃,10℃,晴~多云,西南风,3-4级,97,良,2
2016-11-05,19℃,8℃,晴~多云,西南风,4-5级,161,中度污染,4
2016-11-06,12℃,7℃,晴,东北风,3-4级,94,良,2
2016-11-07,11℃,4℃,小雨~多云,西北风,3-4级,96,良,2
2016-11-08,7℃,3℃,多云~晴,北风,5-6级,40,优,1
2016-11-09,10℃,6℃,多云,北风,3-4级,39,优,1
2016-11-10,13℃,6℃,阴,西南风,4-5级,64,良,2
2016-11-11,14℃,8℃,晴,南风,3-4级,105,轻度污染,3
2016-11-12,15℃,8℃,晴~多云,西南风,3-4级,91,良,2
2016-11-13,17℃,9℃,多云~阴,南风,3-4级,97,良,2
2016-11-14,13℃,4℃,阴~多云,南风,5-6级,99,良,2
2016-11-15,8℃,3℃,晴~多云,北风,4-5级,46,优,1
2016-11-16,14℃,6℃,阴~多云,南风,3-4级,58,良,2
